The Shawshank Redemption;9.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Godfather;9.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Dark Knight;9;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Godfather: Part II;9;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12 Angry Men;9;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Lord of the Rings: The Return of the King;8.9;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pulp Fiction;8.9;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schindler's List;8.9;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Inception;8.8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Fight Club;8.8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Lord of the Rings: The Fellowship of the Ring;8.8;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Forrest Gump;8.8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Il buono, il brutto, il cattivo;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
The Lord of the Rings: The Two Towers;8.7;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Matrix;8.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Goodfellas;8.7;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Star Wars: Episode V - The Empire Strikes Back;8.7;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
One Flew Over the Cuckoo's Nest;8.7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hamilton;8.6;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Gisaengchung;8.6;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Soorarai Pottru;8.6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Interstellar;8.6;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Cidade de Deus;8.6;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sen to Chihiro no kamikakushi;8.6;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Saving Private Ryan;8.6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
The Green Mile;8.6;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
La vita è bella;8.6;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Se7en;8.6;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
The Silence of the Lambs;8.6;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Star Wars;8.6;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Seppuku;8.6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Shichinin no samurai;8.6;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
It's a Wonderful Life;8.6;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Joker;8.5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Whiplash;8.5;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
The Intouchables;8.5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Prestige;8.5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
The Departed;8.5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
The Pianist;8.5;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Gladiator;8.5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
American History X;8.5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Usual Suspects;8.5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Léon;8.5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Lion King;8.5;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Terminator 2: Judgment Day;8.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Nuovo Cinema Paradiso;8.5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Hotaru no haka;8.5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Back to the Future;8.5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Once Upon a Time in the West;8.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Psycho;8.5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
Casablanca;8.5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Modern Times;8.5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
City Lights;8.5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Capharnaüm;8.4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ayla: The Daughter of War;8.4;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Vikram Vedha;8.4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kimi no na wa.;8.4;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Dangal;8.4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spider-Man: Into the Spider-Verse;8.4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avengers: Endgame;8.4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avengers: Infinity War;8.4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Coco;8.4;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Django Unchained;8.4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
The Dark Knight Rises;8.4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3 Idiots;8.4;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taare Zameen Par;8.4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
WALL·E;8.4;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
The Lives of Others;8.4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Oldeuboi;8.4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Memento;8.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Mononoke-hime;8.4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Once Upon a Time in America;8.4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raiders of the Lost Ark;8.4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Shining;8.4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Apocalypse Now;8.4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Alien;8.4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Anand;8.4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Tengoku to jigoku;8.4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;8.4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Witness for the Prosecution;8.4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Paths of Glory;8.4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Rear Window;8.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Sunset Blvd.;8.4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The Great Dictator;8.4;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1917;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Tumbbad;8.3;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Andhadhun;8.3;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Drishyam;8.3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Jagten;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jodaeiye Nader az Simin;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Incendies;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Miracle in cell NO.7;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Babam ve Oglum;8.3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Inglourious Basterds;8.3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Eternal Sunshine of the Spotless Mind;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Amélie;8.3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Snatch;8.3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Requiem for a Dream;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
American Beauty;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Good Will Hunting;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bacheha-Ye aseman;8.3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
Toy Story;8.3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Braveheart;8.3;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Reservoir Dogs;8.3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Full Metal Jacket;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Idi i smotri;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Aliens;8.3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Amadeus;8.3;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Scarface;8.3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Star Wars: Episode VI - Return of the Jedi;8.3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Das Boot;8.3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Taxi Driver;8.3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Sting;8.3;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A Clockwork Orange;8.3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2001: A Space Odyssey;8.3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Per qualche dollaro in più;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Lawrence of Arabia;8.3;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Apartment;8.3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
North by Northwest;8.3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Vertigo;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
Singin' in the Rain;8.3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Ikiru;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ladri di biciclette;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Double Indemnity;8.3;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Citizen Kane;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
M - Eine Stadt sucht einen Mörder;8.3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Metropolis;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
The Kid;8.3;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Chhichhore;8.2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uri: The Surgical Strike;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
K.G.F: Chapter 1;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Green Book;8.2;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Three Billboards Outside Ebbing, Missouri;8.2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Talvar;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Baahubali 2: The Conclusion;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Klaus;8.2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Drishyam;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Queen;8.2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mandariinid;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Bhaag Milkha Bhaag;8.2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Gangs of Wasseypur;8.2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Udaan;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paan Singh Tomar;8.2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
El secreto de sus ojos;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Warrior;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Shutter Island;8.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Up;8.2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Wolf of Wall Street;8.2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chak De! India;8.2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
There Will Be Blood;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pan's Labyrinth;8.2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
Toy Story 3;8.2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
V for Vendetta;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Rang De Basanti;8.2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Black;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Batman Begins;8.2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Swades: We, the People;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Der Untergang;8.2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Hauru no ugoku shiro;8.2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A Beautiful Mind;8.2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hera Pheri;8.2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lock, Stock and Two Smoking Barrels;8.2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L.A. Confidential;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Eskiya;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Heat;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Casino;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andaz Apna Apna;8.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Unforgiven;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Indiana Jones and the Last Crusade;8.2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dom za vesanje;8.2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tonari no Totoro;8.2;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Die Hard;8.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Ran;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Raging Bull;8.2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Stalker;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Höstsonaten;8.2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
The Message;8.2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sholay;8.2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monty Python and the Holy Grail;8.2;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
The Great Escape;8.2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
To Kill a Mockingbird;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yôjinbô;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Judgment at Nuremberg;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Some Like It Hot;8.2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Smultronstället;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Det sjunde inseglet;8.2;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Du rififi chez les hommes;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Dial M for Murder;8.2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Tôkyô monogatari;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rashômon;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
All About Eve;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Treasure of the Sierra Madre;8.2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
To Be or Not to Be;8.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
The Gold Rush;8.2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sherlock Jr.;8.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Portrait de la jeune fille en feu;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Pink;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Koe no katachi;8.1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
